TransactionID,DateKey,AccountID,DepartmentID,CostCenterID,Amount,TransactionType,Description
1,20230124,4001,1,CC-100,99624.81,Revenue,Product Sales - Sales
2,20230105,4001,2,CC-200,89171.15,Revenue,Product Sales - Marketing
3,20230103,4001,9,CC-500,102408.77,Revenue,Product Sales - Sales - APAC
4,20230101,4001,10,CC-100,98221.0,Revenue,Product Sales - Sales - EMEA
5,20230117,4002,1,CC-200,52247.46,Revenue,Service Revenue - Sales
6,20230107,4002,2,CC-500,61321.03,Revenue,Service Revenue - Marketing
7,20230114,4002,9,CC-500,63355.95,Revenue,Service Revenue - Sales - APAC
8,20230109,4002,10,CC-500,54509.87,Revenue,Service Revenue - Sales - EMEA
9,20230125,4003,1,CC-100,41800.71,Revenue,Subscription Revenue - Sales
10,20230111,4003,2,CC-400,41759.28,Revenue,Subscription Revenue - Marketing
11,20230125,4003,9,CC-200,35701.07,Revenue,Subscription Revenue - Sales - APAC
12,20230113,4003,10,CC-100,36374.92,Revenue,Subscription Revenue - Sales - EMEA
13,20230120,4004,1,CC-300,22414.88,Revenue,Consulting Revenue - Sales
14,20230124,4004,2,CC-100,23698.58,Revenue,Consulting Revenue - Marketing
15,20230113,4004,9,CC-100,25189.6,Revenue,Consulting Revenue - Sales - APAC
16,20230127,4004,10,CC-300,22277.82,Revenue,Consulting Revenue - Sales - EMEA
17,20230119,4005,1,CC-300,20966.57,Revenue,License Revenue - Sales
18,20230102,4005,2,CC-100,18323.92,Revenue,License Revenue - Marketing
19,20230103,4005,9,CC-300,21164.15,Revenue,License Revenue - Sales - APAC
20,20230113,4005,10,CC-100,22339.39,Revenue,License Revenue - Sales - EMEA
21,20230106,4010,1,CC-300,2975.19,Revenue,Interest Income - Sales
22,20230122,4010,2,CC-200,3063.36,Revenue,Interest Income - Marketing
23,20230120,4010,9,CC-100,2964.67,Revenue,Interest Income - Sales - APAC
24,20230124,4010,10,CC-500,3316.57,Revenue,Interest Income - Sales - EMEA
25,20230108,5001,3,CC-500,85660.4,Expense,Cost of Goods Sold - Engineering
26,20230108,5001,8,CC-100,96646.11,Expense,Cost of Goods Sold - Research & Development
27,20230119,5002,6,CC-200,43087.08,Expense,Direct Labor - Operations
28,20230107,5002,7,CC-300,54650.98,Expense,Direct Labor - Customer Support
29,20230124,5003,8,CC-200,10191.96,Expense,Manufacturing Overhead - Research & Development
30,20230124,5003,7,CC-300,11526.16,Expense,Manufacturing Overhead - Customer Support
31,20230113,5003,10,CC-500,11630.64,Expense,Manufacturing Overhead - Sales - EMEA
32,20230117,5003,2,CC-200,10628.98,Expense,Manufacturing Overhead - Marketing
33,20230126,6001,2,CC-200,91854.56,Expense,Salaries & Wages - Marketing
34,20230103,6001,1,CC-500,114367.2,Expense,Salaries & Wages - Sales
35,20230115,6001,10,CC-500,101750.07,Expense,Salaries & Wages - Sales - EMEA
36,20230125,6002,5,CC-500,23126.14,Expense,Employee Benefits - Human Resources
37,20230104,6002,9,CC-300,19268.01,Expense,Employee Benefits - Sales - APAC
38,20230115,6002,1,CC-200,19494.75,Expense,Employee Benefits - Sales
39,20230117,6002,6,CC-300,17027.59,Expense,Employee Benefits - Operations
40,20230127,6003,9,CC-300,31575.7,Expense,Rent & Facilities - Sales - APAC
41,20230107,6003,2,CC-500,29028.44,Expense,Rent & Facilities - Marketing
42,20230101,6004,6,CC-500,6094.51,Expense,Utilities - Operations
43,20230101,6004,3,CC-400,6237.47,Expense,Utilities - Engineering
44,20230119,6005,6,CC-200,33591.78,Expense,Marketing & Advertising - Operations
45,20230124,6005,5,CC-100,44204.24,Expense,Marketing & Advertising - Human Resources
46,20230118,6006,2,CC-400,7094.64,Expense,Travel & Entertainment - Marketing
47,20230128,6006,9,CC-500,7217.09,Expense,Travel & Entertainment - Sales - APAC
48,20230118,6006,3,CC-200,8688.65,Expense,Travel & Entertainment - Engineering
49,20230117,6007,4,CC-400,9274.57,Expense,Professional Services - Finance
50,20230108,6007,5,CC-200,8580.2,Expense,Professional Services - Human Resources
51,20230119,6007,7,CC-100,7224.09,Expense,Professional Services - Customer Support
52,20230108,6007,6,CC-500,8938.73,Expense,Professional Services - Operations
53,20230128,6008,2,CC-100,20060.48,Expense,Software & Technology - Marketing
54,20230108,6008,1,CC-500,20973.86,Expense,Software & Technology - Sales
55,20230119,6009,8,CC-500,7988.5,Expense,Depreciation - Research & Development
56,20230126,6009,4,CC-400,7253.17,Expense,Depreciation - Finance
57,20230104,6009,3,CC-100,7060.71,Expense,Depreciation - Engineering
58,20230122,6010,7,CC-100,4440.64,Expense,Insurance - Customer Support
59,20230102,6010,6,CC-100,4776.22,Expense,Insurance - Operations
60,20230126,6010,10,CC-300,4324.72,Expense,Insurance - Sales - EMEA
61,20230107,6010,4,CC-200,5151.01,Expense,Insurance - Finance
62,20230109,6011,9,CC-200,3424.29,Expense,Office Supplies - Sales - APAC
